,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Time_Start,Time_End,Humpback
9629,43.27903545,0.139098864,4.595849306,6.275677484,8.622914677,-2.617423801,-2.728774129,-2.494296906,-2.069261761,-1.236361294,-2.193275268,4.570831967,-2.40366522,962.8,962.9,0
9630,41.92841769,1.519832611,4.24991482,6.70940443,7.743821061,-0.002255733,-1.318350837,-1.724635415,-7.117621189,-5.976536967,-4.468867258,2.217056755,1.536382968,962.9,963,0
9631,41.32290258,0.751427296,3.233581968,5.02714179,4.847780962,0.371670622,3.156256557,0.63498746,-5.752370184,-2.190531372,-0.384664617,2.848120555,0.329840147,963,963.1,0
9632,42.23890841,0.317729382,1.703690012,4.58436467,7.184687483,2.39679181,2.440256141,-0.566975446,-4.241632487,0.288398027,-0.168288567,3.894647402,-0.843250527,963.1,963.2,1
9633,39.64975157,0.289897232,5.851605951,6.902030274,6.778517951,0.742904653,0.906915673,2.156075434,-4.208974763,-3.028729786,-1.720871404,1.029657901,2.458327446,963.2,963.3,1
9634,40.20222833,0.285000608,4.560067911,5.769781494,6.059666225,0.303157199,1.245830393,0.099770151,-6.745738866,-4.438198303,-4.401249691,-1.215668619,0.300983831,963.3,963.4,1
9635,40.86010019,0.613185938,3.918390683,6.369468566,8.83079539,2.893116511,0.830778622,-0.806128724,-7.327761581,-5.309846946,-4.677381608,-2.691582311,-2.552615704,963.4,963.5,1
9636,42.86798125,2.227996636,4.697674439,7.183094054,5.277405774,-4.11040333,-5.287948091,-4.072946226,-8.704909351,-5.822251665,-3.063576554,0.378168609,-2.901874657,963.5,963.6,1
9637,43.43025578,2.128785217,3.82455294,7.578515514,7.099032026,-4.701668743,-4.302559416,-1.774330098,-8.450406175,-7.30859838,-3.560447464,-0.725959961,-3.541748642,963.6,963.7,1
9638,42.17507171,0.732949974,3.985071852,8.135841793,6.814561774,-1.532193834,-0.646371451,-1.894243891,-8.335032133,-4.524811342,-4.200413311,-1.437634042,-1.136455684,963.7,963.8,1
9639,41.61705624,0.865032404,3.860406152,6.642270431,7.473979791,0.479569932,-1.628237622,-3.889428515,-9.176651182,-4.994934047,-3.079329155,-0.998662802,-1.543046451,963.8,963.9,1
9640,42.13502629,1.977094853,4.039107433,3.420096415,6.273833468,3.553265979,2.219669936,-0.507017448,-7.62468513,-7.388135469,-5.961384389,-1.093089284,-2.012006127,963.9,964,1
9641,44.25266431,2.960855815,4.691713997,8.147830989,8.426755515,-0.644066527,-0.920853108,-1.010860015,-7.286207944,-5.799741817,-5.007096254,-0.722674432,-0.188104467,964,964.1,1
9642,43.73331941,3.384786867,5.886861187,7.276969257,7.046062912,0.157289178,0.807298147,0.66692711,-5.9195091,-5.15875746,-2.732228286,1.36708315,0.292820979,964.1,964.2,1
9643,43.51734739,2.037825261,4.243276383,9.580033157,10.33839658,0.336916426,-3.173347637,-1.561470843,-2.674807465,-1.647075316,-0.568259262,3.851012183,0.225679725,964.2,964.3,1
9644,44.46812978,4.311181553,5.811031447,5.441303157,3.713231147,-4.657347433,-3.792218026,-0.828402495,-4.439969053,-1.200416214,2.079059759,6.790029907,5.173755177,964.3,964.4,1
9645,42.75903723,2.086476258,4.735620447,6.534222323,5.274601979,-3.008576816,-2.830950262,-2.90925981,-9.333333697,-5.10602507,-3.276124196,0.310181822,-0.459234024,964.4,964.5,1
9646,42.06570479,0.525633297,2.993034706,7.198211645,7.095739943,-0.098646866,-0.455980097,0.846401585,-5.085599069,-4.216526901,1.129004227,3.694563378,0.436265316,964.5,964.6,1
9647,41.9770697,1.448437982,3.549530674,4.451458768,6.37833717,0.399684785,-0.454308295,2.339996444,-1.767182,-3.009338308,-5.052901412,-1.82694954,-0.635091383,964.6,964.7,1
9648,42.19794676,1.136338098,3.83412368,6.222636995,5.581029905,-1.237761524,-0.773026751,-1.470334316,-6.931869104,-3.665502744,-2.812508391,1.054468496,-1.11454668,964.7,964.8,1
9649,41.72447067,0.348690503,1.87694044,5.094234491,6.062583029,-0.5869367,-1.951906805,-1.412536864,-5.075926585,-2.171539776,-0.191559402,3.101414237,1.865437665,964.8,964.9,1
9650,41.36485559,-0.640724909,1.719514049,5.977918149,7.15070903,1.623532346,1.531035077,-0.990338767,-5.091718565,0.237579558,-2.064970968,-0.727288342,-0.579329927,964.9,965,1
9651,41.55548543,1.143355044,3.947538312,6.479813078,6.628026153,-1.50676569,-1.786360329,-1.979297713,-5.631561614,-0.066115988,1.069129513,2.256530645,0.396282209,965,965.1,1
9652,40.85224128,0.885724264,5.353578697,6.111114107,6.592277782,-1.852420227,-3.528739894,-0.081257605,-4.356879828,-1.752206148,0.328539215,4.492225177,-1.193220826,965.1,965.2,0
9653,41.71205231,1.914518031,5.085364186,5.772156739,6.128068352,-1.146240597,-1.725397553,0.588963212,-2.818474321,0.673647379,0.840176321,2.066448752,1.748009414,965.2,965.3,0
9654,40.324348,-0.96976286,2.715371544,7.435689907,8.429141459,-0.428279313,2.153881396,3.347833723,-5.155042448,-3.623167726,1.068059447,5.092399591,2.401100433,965.3,965.4,0
9655,40.81985434,0.551078714,3.905327624,5.93955041,6.845265694,-0.973023009,-0.34213409,2.180397379,-4.003965753,-2.491244593,-0.116102639,1.677964262,-0.877236542,965.4,965.5,0
9656,42.76401365,1.246586077,1.785204634,3.520501512,5.375313424,1.743510792,4.264274228,4.994762991,-3.550978911,-5.370489826,-3.842399719,1.085960487,-0.023270317,965.5,965.6,0
9657,41.47773298,0.492296998,1.920528634,4.00779998,6.822389856,1.442331382,1.223631851,-0.482127387,-7.403719966,-4.015982907,0.231550383,2.332549631,-0.644195297,965.6,965.7,0
9658,41.00453494,0.41185129,2.460147075,3.547888487,5.207628026,-0.391191531,0.850299328,2.498993041,-2.468412147,-2.434248448,-1.773497154,0.761850133,-4.052664993,965.7,965.8,0
9659,44.49953226,3.098832586,3.681265418,5.036279854,4.617371443,-3.722221344,-4.420440103,-2.332298972,-5.704802078,-2.016949995,-0.643239478,3.349521942,2.841293154,965.8,965.9,0
9660,41.80476751,0.488460534,2.667766077,6.368507019,7.999018665,-0.249453514,-0.870371124,3.260279316,-1.967001964,-2.628190321,-0.427772581,4.715504686,-1.303665037,965.9,966,0
9661,40.98534801,0.962234299,4.967067244,7.227781545,8.915265582,3.030020106,1.845235613,1.134835155,-3.288416792,-0.356048292,1.693475262,6.262957104,1.78653605,966,966.1,0
9662,41.88055181,1.386142131,3.010704481,3.305633256,5.367726951,0.442535675,3.30713808,7.147419209,-0.901382371,-3.519685425,-2.881048773,4.15221348,3.340454066,966.1,966.2,0
9663,40.77543205,-0.384516335,5.17733719,6.414336397,8.17118877,2.391136343,2.173033171,2.362524911,-3.178026821,2.774109872,0.354546013,7.911388804,0.965965433,966.2,966.3,0
9664,41.68876192,-0.278839088,2.414467758,10.21566075,10.78233263,-2.709810377,-0.413631333,6.156850342,-4.456181063,-4.390758738,4.187103421,7.554374186,-0.729325353,966.3,966.4,0
9665,41.99891814,0.51940044,1.968649515,3.568243523,5.667802408,1.797157818,3.328237053,3.455607456,-3.69984568,-4.322888343,-2.087128008,3.280122934,-0.415454722,966.4,966.5,0
9666,42.90534767,0.964664906,2.832708692,8.687030629,9.090419172,-0.333933434,-0.419269711,1.593311296,-3.685479666,-3.741105294,-0.761945191,3.166341217,-0.317865838,966.5,966.6,0
9667,42.98182169,4.052832478,7.233443332,3.733519483,1.674580003,-3.955020112,-5.13659596,-2.80377262,-5.887587809,-3.348052493,-0.915918329,3.36810791,2.6488264,966.6,966.7,0
9668,40.60793472,-0.033448951,3.691483212,6.822373255,5.712186674,-1.596011415,-2.08802947,-1.288555142,-4.770511613,-2.05639646,0.757069033,4.083578693,-0.465493775,966.7,966.8,0
9669,40.40415794,-0.405961944,2.428015927,5.669425712,7.567865908,-0.11541421,-0.615222986,0.987223237,-3.727622577,-2.325543645,-0.863165825,2.227099236,-0.233023324,966.8,966.9,1
9670,41.90989284,0.619578127,1.709586523,6.26381021,10.2729035,0.92241704,-3.871778938,-1.013825072,-1.191805237,-2.414935049,-2.725067251,3.476785301,2.775127255,966.9,967,1
9671,41.57342176,0.59124519,2.438606323,6.255906007,9.880734031,-0.010207396,-2.624374282,-0.368638912,-4.034565957,-2.828692241,-0.957021508,2.443724487,-0.40574569,967,967.1,1
9672,42.17490835,1.034690591,2.727712449,6.263505017,6.713324957,-0.633044546,0.535269637,1.252360734,-5.779255976,-4.823596069,-1.885342976,2.308330701,-1.286204901,967.1,967.2,1
9673,42.65890306,1.678664006,3.952288896,7.232410006,6.55210425,-2.393953482,-1.973541613,-0.881199918,-3.742727365,-0.969133909,-0.562226912,2.568777068,1.066827273,967.2,967.3,1
9674,44.14953223,1.695458071,0.537383678,4.684409922,6.884454345,-1.753114574,-2.251759361,-1.608293321,-5.853512448,-4.197945,-3.318913624,1.965846079,2.451725465,967.3,967.4,1
9675,41.43180081,0.999719489,3.371576093,4.725420314,6.617386123,0.014466419,-2.221058683,-1.052416483,-5.337300017,-2.817854151,-0.729547501,2.039062362,-1.250321797,967.4,967.5,1
9676,41.96713388,0.18586035,1.075478892,4.069601916,6.740946935,1.446047265,0.271777828,-2.419244049,-8.149613888,-4.42632334,-1.258940635,2.081861557,-0.590734327,967.5,967.6,1
9677,41.63235528,0.671214707,2.356743076,4.919349154,6.001990848,-0.695634575,-1.093936717,-2.200172328,-8.433875186,-5.101557728,-1.909277163,-0.651679923,-2.184381883,967.6,967.7,1
9678,41.40108054,0.550559716,3.306941358,5.537102224,6.717369769,-1.168926711,-2.417897738,-2.104491042,-7.209494634,-4.83824905,-1.8271817,2.291411502,-0.740419239,967.7,967.8,1
9679,38.52528328,-0.914169473,3.634773907,5.180559175,7.002001654,0.695298799,0.228581325,2.068964586,-5.441799631,-4.017536454,-0.805284067,1.244566063,-0.421574688,967.8,967.9,1
9680,40.07932513,-0.051289387,2.873093893,4.657800963,7.089301467,-0.579786966,-1.384851062,1.101174845,-4.568623299,-3.492075312,-1.421412824,3.237475435,0.280563793,967.9,968,1
9681,40.50059814,0.485701223,3.684237271,5.523679339,7.718242037,0.908856558,-0.522965237,0.142001933,-4.19771443,-0.089047035,1.095603896,2.981939668,-0.437381188,968,968.1,1
9682,41.90459179,1.455018555,3.99909492,6.471487562,6.562567422,-1.003907812,-1.615618708,-1.487849096,-5.902999366,-3.26761869,-1.883108495,0.111790272,-1.992232111,968.1,968.2,1
9683,40.08082825,0.060548017,4.185315996,6.780318721,8.104586673,0.416712479,0.009122228,2.023740934,-4.523483121,-2.671227093,0.365637944,2.995136057,0.615321504,968.2,968.3,1
9684,40.3807886,-1.16767342,0.814238121,5.692901264,7.122841381,-0.201532138,0.613206801,1.061696081,-4.478373158,-3.097570794,-2.212883972,1.796675463,1.084970831,968.3,968.4,1
9685,40.65724274,0.454976751,3.839058456,4.830650586,5.939148069,-0.689280524,-2.476743576,-1.210196473,-4.755352199,-4.413762101,-1.874377929,2.816601456,-2.532462165,968.4,968.5,1
9686,41.58747817,1.682599249,4.27120699,4.661234304,5.100507703,-2.586760358,-3.273307657,-1.405290865,-3.617508085,-2.38504762,-2.86908078,1.385138232,-2.88502059,968.5,968.6,1
9687,42.25634541,0.948353836,1.920556548,3.945571223,5.518396457,0.140887874,0.989494999,-2.066820928,-8.808801567,-4.100383442,-1.770364507,1.999758592,1.295825318,968.6,968.7,1
